Оборудование;Узел;Номер узла;Идентификационный номер;Наименование;Тип номера;Стр.
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624001401956;Кольцо направляющее;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488601000150106;Кольцо опорное;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080401701202596;Винт М12х25;Номер заказа;36
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900597336000001206;Шайба стопорная Ф12;Номер заказа;36
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080401401604576;Болт М16х45;Номер заказа;36
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;401040321600102126;Гайка М16;Номер заказа;36
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;401113711600000022;Шайба Ф16;Номер заказа;36
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900597336000101606;Шайба стопорная Ф16;Номер заказа;36
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002223000001;Система выпуска;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000000000540001;Защита;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002240100001;Каркас;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000000000512002;Бонка;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002224350001;Кронштейн;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002224351002;Хомут;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080401701002576;Винт М10х25;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;401040321000102126;Гайка М10;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;401064021000002106;Шайба стопорная Ф10;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900597336000001006;Шайба стопорная Ф10;Номер заказа;37
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080401702008096;Винт М20х80;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;401113712000002002;Шайба Ф20;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900597336000002006;Шайба стопорная Ф20;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;401040322000102126;Гайка М20;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080401701605096;Болт М16х50;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080476201404096;Винт М14х40;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900597336000001406;Шайба стопорная Ф14;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;900080401702004096;М20х40;Номер заказа;38
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002230210001;Подрамник;Номер заказа;40
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002240200001;Опора;Номер заказа;40
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002222450001;Кронштейн;Номер заказа;40
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002230290001;Опора;Номер заказа;40
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002230260001;Опора;Номер заказа;40
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка силовая;068000002240000001;068000002230230001;Кронштейн;Номер заказа;40
